id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,City Cipher,Nova Verse,hip hop,confident,0.74,96,0.68,0.84,0.14
12,Moonlit Sonata Rework,Aria Vale,classical,reflective,0.22,66,0.42,0.18,0.95
13,Island Signal,Solar Tide,reggae,uplifting,0.63,88,0.86,0.77,0.49
14,Iron Horizon,Forge Anthem,metal,aggressive,0.97,168,0.31,0.52,0.03
15,Pine Trail Letters,Willow Reed,folk,nostalgic,0.33,82,0.64,0.47,0.91
16,Neon Circuit,Kilo Pulse,techno,euphoric,0.89,130,0.72,0.90,0.08
17,Velvet Static,June Harbor,r&b,romantic,0.51,92,0.70,0.76,0.37
18,Dust Road Radio,Canyon South,country,hopeful,0.46,104,0.74,0.59,0.73
19,Golden Hour Drive,Sunfield,indie pop,happy,0.71,116,0.88,0.75,0.42
20,Basement Tapes,The Hollow,rock,nostalgic,0.68,98,0.55,0.61,0.38
21,Cloud Nine,Aero,ambient,uplifting,0.31,58,0.78,0.38,0.94
22,After Midnight Jazz,Blue Comma,jazz,moody,0.44,85,0.52,0.57,0.82
23,Block Party,Nova Verse,hip hop,euphoric,0.85,102,0.80,0.91,0.09
24,Cathedral Echo,Aria Vale,classical,reflective,0.18,54,0.38,0.14,0.97
25,Tidal Wave,Voltline,rock,intense,0.94,158,0.44,0.69,0.07
26,Porch Swing Summer,Willow Reed,folk,hopeful,0.38,76,0.79,0.51,0.88
27,Neon Rain,June Harbor,synthwave,romantic,0.67,108,0.61,0.78,0.19
28,Deep Focus,LoRoom,lofi,focused,0.36,74,0.53,0.55,0.80
29,Pulse City,Kilo Pulse,techno,intense,0.95,140,0.58,0.93,0.04
30,Wildfire,Canyon South,country,intense,0.72,118,0.66,0.63,0.55
31,Slow Burn,Indigo Parade,r&b,romantic,0.48,88,0.73,0.70,0.44
32,Frequency Nine,Orbit Bloom,ambient,focused,0.25,62,0.60,0.35,0.96
33,Sun Salutation,Solar Tide,reggae,uplifting,0.58,84,0.89,0.72,0.53
34,Lost in the Static,The Hollow,rock,moody,0.79,136,0.40,0.64,0.15
35,Champagne Theories,Slow Stereo,jazz,relaxed,0.41,92,0.75,0.60,0.85
36,Mirror Pool,Paper Lanterns,lofi,reflective,0.30,70,0.48,0.50,0.90
37,Zero Gravity,Neon Echo,synthwave,euphoric,0.88,126,0.76,0.85,0.11
38,Ember Roads,Sunfield,folk,nostalgic,0.35,80,0.67,0.45,0.92
39,Concrete Jungle,Nova Verse,hip hop,confident,0.80,100,0.62,0.87,0.10
40,Quantum Leap,Forge Anthem,metal,aggressive,0.96,172,0.28,0.49,0.02
41,Lazy Afternoon,Blue Comma,jazz,relaxed,0.32,78,0.80,0.52,0.91
42,Neon Blossom,Max Pulse,pop,happy,0.78,122,0.87,0.83,0.16
43,Arctic Signal,Kilo Pulse,techno,focused,0.87,135,0.55,0.88,0.06
44,Harvest Moon Letters,Willow Reed,country,nostalgic,0.40,96,0.76,0.55,0.78
45,Crimson Tide,Voltline,metal,intense,0.98,175,0.33,0.54,0.01
46,Bedroom Window,Indigo Parade,indie pop,reflective,0.52,102,0.69,0.66,0.58
47,Still Waters,Aria Vale,classical,chill,0.20,52,0.55,0.20,0.98
48,Downtown Lights,June Harbor,r&b,confident,0.66,98,0.74,0.80,0.28
49,Shoreline,Solar Tide,reggae,chill,0.50,80,0.82,0.68,0.62
50,Wildwood Trail,Canyon South,folk,hopeful,0.42,86,0.77,0.53,0.84